,agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
0,5s,15s,20d,6s,14n,10s,14n,10s
1,USGS,02085070,2018-11-17 00:00,EST,546,P,3.66,P
2,USGS,02085070,2018-11-17 00:15,EST,535,P,3.63,P
3,USGS,02085070,2018-11-17 00:30,EST,532,P,3.62,P
4,USGS,02085070,2018-11-17 00:45,EST,532,P,3.62,P
5,USGS,02085070,2018-11-17 01:00,EST,521,P,3.59,P
6,USGS,02085070,2018-11-17 01:15,EST,517,P,3.58,P
7,USGS,02085070,2018-11-17 01:30,EST,509,P,3.56,P
8,USGS,02085070,2018-11-17 01:45,EST,505,P,3.55,P
9,USGS,02085070,2018-11-17 02:00,EST,497,P,3.53,P
10,USGS,02085070,2018-11-17 02:15,EST,493,P,3.52,P
11,USGS,02085070,2018-11-17 02:30,EST,489,P,3.51,P
12,USGS,02085070,2018-11-17 02:45,EST,485,P,3.50,P
13,USGS,02085070,2018-11-17 03:00,EST,489,P,3.51,P
14,USGS,02085070,2018-11-17 03:15,EST,481,P,3.49,P
15,USGS,02085070,2018-11-17 03:30,EST,469,P,3.46,P
16,USGS,02085070,2018-11-17 03:45,EST,473,P,3.47,P
17,USGS,02085070,2018-11-17 04:00,EST,465,P,3.45,P
18,USGS,02085070,2018-11-17 04:15,EST,465,P,3.45,P
19,USGS,02085070,2018-11-17 04:30,EST,461,P,3.44,P
20,USGS,02085070,2018-11-17 04:45,EST,454,P,3.42,P
21,USGS,02085070,2018-11-17 05:00,EST,450,P,3.41,P
22,USGS,02085070,2018-11-17 05:15,EST,454,P,3.42,P
23,USGS,02085070,2018-11-17 05:30,EST,450,P,3.41,P
24,USGS,02085070,2018-11-17 05:45,EST,439,P,3.38,P
25,USGS,02085070,2018-11-17 06:00,EST,439,P,3.38,P
26,USGS,02085070,2018-11-17 06:15,EST,439,P,3.38,P
27,USGS,02085070,2018-11-17 06:30,EST,435,P,3.37,P
28,USGS,02085070,2018-11-17 06:45,EST,428,P,3.35,P
29,USGS,02085070,2018-11-17 07:00,EST,424,P,3.34,P
30,USGS,02085070,2018-11-17 07:15,EST,421,P,3.33,P
31,USGS,02085070,2018-11-17 07:30,EST,421,P,3.33,P
32,USGS,02085070,2018-11-17 07:45,EST,414,P,3.31,P
33,USGS,02085070,2018-11-17 08:00,EST,414,P,3.31,P
34,USGS,02085070,2018-11-17 08:15,EST,410,P,3.30,P
35,USGS,02085070,2018-11-17 08:30,EST,407,P,3.29,P
36,USGS,02085070,2018-11-17 08:45,EST,407,P,3.29,P
37,USGS,02085070,2018-11-17 09:00,EST,403,P,3.28,P
38,USGS,02085070,2018-11-17 09:15,EST,400,P,3.27,P
39,USGS,02085070,2018-11-17 09:30,EST,400,P,3.27,P
40,USGS,02085070,2018-11-17 09:45,EST,393,P,3.25,P
41,USGS,02085070,2018-11-17 10:00,EST,393,P,3.25,P
42,USGS,02085070,2018-11-17 10:15,EST,390,P,3.24,P
43,USGS,02085070,2018-11-17 10:30,EST,383,P,3.22,P
44,USGS,02085070,2018-11-17 10:45,EST,383,P,3.22,P
45,USGS,02085070,2018-11-17 11:00,EST,379,P,3.21,P
46,USGS,02085070,2018-11-17 11:15,EST,379,P,3.21,P
47,USGS,02085070,2018-11-17 11:30,EST,375,P,3.20,P
48,USGS,02085070,2018-11-17 11:45,EST,367,P,3.18,P
49,USGS,02085070,2018-11-17 12:00,EST,367,P,3.18,P
50,USGS,02085070,2018-11-17 12:15,EST,367,P,3.18,P
51,USGS,02085070,2018-11-17 12:30,EST,360,P,3.16,P
52,USGS,02085070,2018-11-17 12:45,EST,356,P,3.15,P
53,USGS,02085070,2018-11-17 13:00,EST,360,P,3.16,P
54,USGS,02085070,2018-11-17 13:15,EST,352,P,3.14,P
55,USGS,02085070,2018-11-17 13:30,EST,348,P,3.13,P
56,USGS,02085070,2018-11-17 13:45,EST,352,P,3.14,P
57,USGS,02085070,2018-11-17 14:00,EST,341,P,3.11,P
58,USGS,02085070,2018-11-17 14:15,EST,345,P,3.12,P
59,USGS,02085070,2018-11-17 14:30,EST,341,P,3.11,P
60,USGS,02085070,2018-11-17 14:45,EST,337,P,3.10,P
61,USGS,02085070,2018-11-17 15:00,EST,337,P,3.10,P
62,USGS,02085070,2018-11-17 15:15,EST,337,P,3.10,P
63,USGS,02085070,2018-11-17 15:30,EST,337,P,3.10,P
64,USGS,02085070,2018-11-17 15:45,EST,330,P,3.08,P
65,USGS,02085070,2018-11-17 16:00,EST,330,P,3.08,P
66,USGS,02085070,2018-11-17 16:15,EST,326,P,3.07,P
67,USGS,02085070,2018-11-17 16:30,EST,326,P,3.07,P
68,USGS,02085070,2018-11-17 16:45,EST,323,P,3.06,P
69,USGS,02085070,2018-11-17 17:00,EST,323,P,3.06,P
70,USGS,02085070,2018-11-17 17:15,EST,323,P,3.06,P
71,USGS,02085070,2018-11-17 17:30,EST,319,P,3.05,P
72,USGS,02085070,2018-11-17 17:45,EST,316,P,3.04,P
73,USGS,02085070,2018-11-17 18:00,EST,312,P,3.03,P
74,USGS,02085070,2018-11-17 18:15,EST,312,P,3.03,P
75,USGS,02085070,2018-11-17 18:30,EST,312,P,3.03,P
76,USGS,02085070,2018-11-17 18:45,EST,309,P,3.02,P
77,USGS,02085070,2018-11-17 19:00,EST,309,P,3.02,P
78,USGS,02085070,2018-11-17 19:15,EST,309,P,3.02,P
79,USGS,02085070,2018-11-17 19:30,EST,306,P,3.01,P
80,USGS,02085070,2018-11-17 19:45,EST,306,P,3.01,P
81,USGS,02085070,2018-11-17 20:00,EST,306,P,3.01,P
82,USGS,02085070,2018-11-17 20:15,EST,302,P,3.00,P
83,USGS,02085070,2018-11-17 20:30,EST,299,P,2.99,P
84,USGS,02085070,2018-11-17 20:45,EST,302,P,3.00,P
85,USGS,02085070,2018-11-17 21:00,EST,295,P,2.98,P
86,USGS,02085070,2018-11-17 21:15,EST,299,P,2.99,P
87,USGS,02085070,2018-11-17 21:30,EST,295,P,2.98,P
88,USGS,02085070,2018-11-17 21:45,EST,295,P,2.98,P
89,USGS,02085070,2018-11-17 22:00,EST,292,P,2.97,P
90,USGS,02085070,2018-11-17 22:15,EST,289,P,2.96,P
91,USGS,02085070,2018-11-17 22:30,EST,289,P,2.96,P
92,USGS,02085070,2018-11-17 22:45,EST,289,P,2.96,P
93,USGS,02085070,2018-11-17 23:00,EST,285,P,2.95,P
94,USGS,02085070,2018-11-17 23:15,EST,285,P,2.95,P
95,USGS,02085070,2018-11-17 23:30,EST,285,P,2.95,P
96,USGS,02085070,2018-11-17 23:45,EST,282,P,2.94,P
97,USGS,02085070,2018-11-18 00:00,EST,279,P,2.93,P
98,USGS,02085070,2018-11-18 00:15,EST,279,P,2.93,P
99,USGS,02085070,2018-11-18 00:30,EST,279,P,2.93,P
100,USGS,02085070,2018-11-18 00:45,EST,276,P,2.92,P
101,USGS,02085070,2018-11-18 01:00,EST,272,P,2.91,P
102,USGS,02085070,2018-11-18 01:15,EST,272,P,2.91,P
103,USGS,02085070,2018-11-18 01:30,EST,272,P,2.91,P
104,USGS,02085070,2018-11-18 01:45,EST,266,P,2.89,P
105,USGS,02085070,2018-11-18 02:00,EST,266,P,2.89,P
106,USGS,02085070,2018-11-18 02:15,EST,269,P,2.90,P
107,USGS,02085070,2018-11-18 02:30,EST,263,P,2.88,P
108,USGS,02085070,2018-11-18 02:45,EST,263,P,2.88,P
109,USGS,02085070,2018-11-18 03:00,EST,263,P,2.88,P
110,USGS,02085070,2018-11-18 03:15,EST,260,P,2.87,P
111,USGS,02085070,2018-11-18 03:30,EST,260,P,2.87,P
112,USGS,02085070,2018-11-18 03:45,EST,260,P,2.87,P
113,USGS,02085070,2018-11-18 04:00,EST,260,P,2.87,P
114,USGS,02085070,2018-11-18 04:15,EST,257,P,2.86,P
115,USGS,02085070,2018-11-18 04:30,EST,254,P,2.85,P
116,USGS,02085070,2018-11-18 04:45,EST,257,P,2.86,P
117,USGS,02085070,2018-11-18 05:00,EST,254,P,2.85,P
118,USGS,02085070,2018-11-18 05:15,EST,251,P,2.84,P
119,USGS,02085070,2018-11-18 05:30,EST,251,P,2.84,P
120,USGS,02085070,2018-11-18 05:45,EST,248,P,2.83,P
121,USGS,02085070,2018-11-18 06:00,EST,248,P,2.83,P
122,USGS,02085070,2018-11-18 06:15,EST,248,P,2.83,P
123,USGS,02085070,2018-11-18 06:30,EST,245,P,2.82,P
124,USGS,02085070,2018-11-18 06:45,EST,242,P,2.81,P
125,USGS,02085070,2018-11-18 07:00,EST,242,P,2.81,P
126,USGS,02085070,2018-11-18 07:15,EST,239,P,2.80,P
127,USGS,02085070,2018-11-18 07:30,EST,242,P,2.81,P
128,USGS,02085070,2018-11-18 07:45,EST,239,P,2.80,P
129,USGS,02085070,2018-11-18 08:00,EST,239,P,2.80,P
130,USGS,02085070,2018-11-18 08:15,EST,239,P,2.80,P
131,USGS,02085070,2018-11-18 08:30,EST,236,P,2.79,P
132,USGS,02085070,2018-11-18 08:45,EST,236,P,2.79,P
133,USGS,02085070,2018-11-18 09:00,EST,236,P,2.79,P
134,USGS,02085070,2018-11-18 09:15,EST,236,P,2.79,P
135,USGS,02085070,2018-11-18 09:30,EST,233,P,2.78,P
136,USGS,02085070,2018-11-18 09:45,EST,231,P,2.77,P
137,USGS,02085070,2018-11-18 10:00,EST,231,P,2.77,P
138,USGS,02085070,2018-11-18 10:15,EST,228,P,2.76,P
139,USGS,02085070,2018-11-18 10:30,EST,231,P,2.77,P
140,USGS,02085070,2018-11-18 10:45,EST,228,P,2.76,P
141,USGS,02085070,2018-11-18 11:00,EST,228,P,2.76,P
142,USGS,02085070,2018-11-18 11:15,EST,225,P,2.75,P
143,USGS,02085070,2018-11-18 11:30,EST,225,P,2.75,P
144,USGS,02085070,2018-11-18 11:45,EST,222,P,2.74,P
145,USGS,02085070,2018-11-18 12:00,EST,222,P,2.74,P
146,USGS,02085070,2018-11-18 12:15,EST,220,P,2.73,P
